protein,cluster
MGYP004668706029,0
MGYP003125700799,1
MGYP003505740598,1
MGYP006058695731,1
MGYP001767359898,1
MGYP001435898993,1
MGYP003684770611,1
MGYP002586966707,1
MGYP001393498693,1
MGYP001826121148,2
MGYP003089102635,3
MGYP005966041257,3
MGYP000545835382,4
MGYP003436790892,5
MGYP002654552411,5
MGYP003359348846,5
MGYP001194114031,6
MGYP001776382464,7
MGYP000360623790,7
MGYP003267708014,7
MGYP001213219289,8
MGYP001742202667,8
MGYP001809157672,8
MGYP001105272757,8
MGYP000861372851,8
MGYP004687670861,8
MGYP001377631058,9
MGYP002517673199,8
MGYP001984593921,10
MGYP005681348903,1989
MGYP006413438047,1989
MGYP003300716090,1989
MGYP001074213730,1989
MGYP000526834164,1989
MGYP002560355493,1989
MGYP001639408382,1989
MGYP000982907811,1989
MGYP005721499823,12
MGYP003682643501,13
MGYP001523016491,13
MGYP001462176771,13
MGYP000998264069,14
MGYP004749215637,15
MGYP001283260357,16
MGYP000316363195,17
MGYP003307411927,17
MGYP000599111817,17
MGYP001096382041,17
MGYP002771867897,17
MGYP002524527224,17
MGYP002561494270,17
MGYP006051674213,17
MGYP000507868816,17
MGYP000787376240,18
MGYP003213604049,18
MGYP003340396382,18
MGYP006341561415,18
MGYP000872799131,18
MGYP002656815642,18
MGYP000075446490,18
MGYP001408450232,18
MGYP000886455775,18
MGYP000871233085,18
MGYP001262742670,18
MGYP002563048889,18
MGYP006272977437,19
MGYP001342772849,20
MGYP000979461450,21
MGYP003182079489,22
MGYP001127924560,22
MGYP005907017501,22
MGYP000787320515,22
MGYP000307271845,22
MGYP003631228921,22
MGYP000221837148,22
MGYP000681882327,22
MGYP000795492994,23
MGYP000059857359,24
MGYP003428248220,24
MGYP002657462059,25
MGYP000716510590,26
MGYP004537990815,27
MGYP000369388215,27
MGYP000454781986,27
MGYP003209376639,27
MGYP000790265781,27
MGYP000432918253,27
MGYP002097459013,27
MGYP002548593200,27
MGYP002647451822,27
MGYP004537178793,27
MGYP001122640769,28
MGYP004527551593,28
MGYP000107991404,28
MGYP002624607216,29
MGYP000242428424,28
MGYP002772374854,28
MGYP002446744829,30
MGYP000512175703,27
MGYP000180421457,32
MGYP002582422754,27
MGYP005760342571,32
MGYP001812008752,33
MGYP006001334309,34
MGYP001270664216,34
MGYP006096832187,34
MGYP001165008826,34
MGYP001299095974,34
MGYP006240215883,35
MGYP001556660499,36
MGYP000382933738,37
MGYP000817506385,38
MGYP005799252527,1989
MGYP000357363744,1989
MGYP001360972557,1989
MGYP000217036122,1989
MGYP001625455031,1989
MGYP004643839037,1989
MGYP002123791431,1989
MGYP006242077979,1989
MGYP001209003118,1989
MGYP005995153821,1989
MGYP000444466913,1989
MGYP001378375228,1989
MGYP002865846762,1989
MGYP001319423235,1989
MGYP002756626964,1989
MGYP005707469733,1989
MGYP001343079947,39
MGYP001644463716,39
MGYP000757340470,196
MGYP005607008117,41
MGYP003517488142,41
MGYP001497538037,42
MGYP006186420469,43
MGYP001141876484,44
MGYP002572016614,44
MGYP004523630497,44
MGYP002985179274,44
MGYP000059541994,44
MGYP000263240080,44
MGYP005739618971,45
MGYP001224532435,46
MGYP000350756251,45
MGYP001296269880,45
MGYP000945298188,44
MGYP000128064330,45
MGYP001829033058,47
MGYP000926283738,46
MGYP005698588385,46
MGYP003414000057,48
MGYP000139485951,49
MGYP000981522792,50
MGYP000796831256,51
MGYP005675448481,52
MGYP000885213076,53
MGYP001448399547,54
MGYP001815232138,55
MGYP000257059318,56
MGYP005784983865,57
MGYP001026987228,57
MGYP003290868210,57
MGYP002520848057,57
MGYP004518280933,57
MGYP006385222557,57
MGYP006364897839,58
MGYP002790102076,59
MGYP001240080281,60
MGYP003520726924,60
MGYP000082496679,60
MGYP000539716168,60
MGYP000822241691,60
MGYP001058909087,60
MGYP001087280811,61
MGYP001229697304,61
MGYP001625122417,62
MGYP003636126485,63
MGYP003113612537,63
MGYP001440910267,63
MGYP001792504912,64
MGYP003584933092,65
MGYP000727425033,66
MGYP000688082507,66
MGYP001152953167,66
MGYP000858151996,66
MGYP006423832049,66
MGYP000859627391,66
MGYP000406285440,66
MGYP001766176634,66
MGYP001235198664,67
MGYP004577526323,68
MGYP002546785654,69
MGYP002509686429,70
MGYP003106019125,70
MGYP000796525555,70
MGYP003601708531,70
MGYP004523884673,70
MGYP006235789903,70
MGYP001100299149,70
MGYP001347967264,70
MGYP000302427506,70
MGYP004476988093,70
MGYP000596996295,70
MGYP001280133236,70
MGYP006105016747,70
MGYP000322491864,70
MGYP003705858679,70
MGYP000380264322,70
MGYP000951159177,70
MGYP006251066105,70
MGYP001480396831,70
MGYP000484242510,70
MGYP001364063637,71
MGYP005629616803,71
MGYP005999101173,71
MGYP003325089381,71
MGYP003866906793,72
MGYP000929926029,73
MGYP001305117445,39
MGYP006175463267,39
MGYP001307333228,39
MGYP002713204922,39
MGYP001173305733,39
MGYP001524375787,39
MGYP002706983636,39
MGYP000763901634,74
MGYP001531369765,75
MGYP000707800138,76
MGYP000759921190,77
MGYP000722383743,78
MGYP002772307598,79
MGYP004664951565,79
MGYP000745814528,79
MGYP002678517066,79
MGYP002664186727,79
MGYP005872904071,79
MGYP002772764084,79
MGYP000793599209,79
MGYP004497558409,79
MGYP002249234024,80
MGYP001737463954,81
MGYP004654870385,648
MGYP000038838088,648
MGYP003368205443,648
MGYP002627159086,648
MGYP001212280784,83
MGYP003109573768,84
MGYP003607926738,84
MGYP000656014887,84
MGYP000199464559,85
MGYP002535725461,85
MGYP003264972759,86
MGYP000738742725,86
MGYP001171416048,86
MGYP005974209379,86
MGYP000151770421,86
MGYP005765694895,86
MGYP000726182050,87
MGYP003585444218,88
MGYP003315261912,87
MGYP002513507840,88
MGYP005840043345,89
MGYP001578221808,90
MGYP002633051820,91
MGYP001155315197,92
MGYP001174598798,39
MGYP002182928096,39
MGYP004598722483,93
MGYP001056160102,93
MGYP000609885367,94
MGYP005970279557,95
MGYP001360353644,96
MGYP003631660835,97
MGYP000367882981,98
MGYP003687513447,99
MGYP001041853195,100
MGYP003514646895,101
MGYP004504192095,101
MGYP001318240106,101
MGYP004564915777,101
MGYP001083423736,102
MGYP003300567938,103
MGYP006100183105,103
MGYP001547555712,103
MGYP001119103216,103
MGYP001186561258,103
MGYP006076176819,103
MGYP001421928254,103
MGYP006284913959,104
MGYP002726722074,105
MGYP001417356793,106
MGYP005987103641,107
MGYP004525888521,108
MGYP001445061478,109
MGYP003582742593,109
MGYP001119043798,109
MGYP004469300885,110
MGYP001160542010,109
MGYP000990005423,111
MGYP000769122307,111
MGYP001294810394,112
MGYP002597373997,113
MGYP000145274938,113
MGYP000749009802,113
MGYP000676288247,113
MGYP001006759172,113
MGYP002401112583,113
MGYP003536674601,114
MGYP000181543751,114
MGYP002732829154,114
MGYP003020070114,115
MGYP001450336420,116
MGYP001318172536,117
MGYP000998941585,118
MGYP000944669756,118
MGYP000216060532,118
MGYP003591982433,118
MGYP003811266507,118
MGYP003458200041,118
MGYP000727245854,118
MGYP000547374928,118
MGYP000856684225,118
MGYP001618369058,119
MGYP000925034817,118
MGYP000456641455,120
MGYP004464917447,121
MGYP003451882717,118
MGYP005984866981,122
MGYP000078207118,123
MGYP001179517451,118
MGYP001292630839,118
MGYP002641177686,124
MGYP000400089916,125
MGYP000351756259,125
MGYP001110413159,125
MGYP004636737401,125
MGYP000314551705,126
MGYP006360660723,126
MGYP000264156894,126
MGYP002754822744,126
MGYP000838609913,127
MGYP002519479046,128
MGYP003297079129,129
MGYP006371753831,130
MGYP001566138465,130
MGYP001138385915,131
MGYP003227073077,132
MGYP001379122623,133
MGYP003503643053,134
MGYP002834496230,135
MGYP004435813875,136
MGYP000137520671,137
MGYP000899399593,138
MGYP000622693364,138
MGYP003083521634,138
MGYP000132178313,139
MGYP000078320021,139
MGYP005835519519,27
MGYP000355350673,27
MGYP000810960565,27
MGYP001625513938,27
MGYP000664024439,27
MGYP004542187899,27
MGYP002773984590,27
MGYP003271284602,27
MGYP003213785063,27
MGYP000781125742,27
MGYP000793778038,27
MGYP000828032861,27
MGYP001535076276,140
MGYP000475571677,27
MGYP001083512405,141
MGYP000019185430,140
MGYP001005692531,143
MGYP001780726567,144
MGYP000472681304,144
MGYP000800986895,144
MGYP006257872751,145
MGYP001395336724,146
MGYP005802204233,147
MGYP003881458555,148
MGYP001617167190,149
MGYP001828490480,150
MGYP001349444111,151
MGYP005729911063,152
MGYP000768066056,153
MGYP003214512783,153
