source,target,weight
MGYP004668706029,MGYP004668706029,1.0
MGYP003125700799,MGYP003125700799,1.0
MGYP003125700799,MGYP003505740598,0.823
MGYP003125700799,MGYP006058695731,0.62
MGYP003125700799,MGYP001767359898,0.654
MGYP003125700799,MGYP001435898993,0.571
MGYP003125700799,MGYP003684770611,0.599
MGYP003125700799,MGYP002586966707,0.505
MGYP003125700799,MGYP001393498693,0.524
MGYP003505740598,MGYP001393498693,0.512
MGYP003505740598,MGYP001767359898,0.66
MGYP003505740598,MGYP003505740598,1.0
MGYP003505740598,MGYP006058695731,0.601
MGYP003505740598,MGYP001435898993,0.56
MGYP003505740598,MGYP003684770611,0.578
MGYP003505740598,MGYP002586966707,0.497
MGYP006058695731,MGYP001393498693,0.493
MGYP006058695731,MGYP001767359898,0.609
MGYP006058695731,MGYP002586966707,0.506
MGYP006058695731,MGYP001317041712,0.833
MGYP006058695731,MGYP003684770611,0.628
MGYP006058695731,MGYP001435898993,0.755
MGYP006058695731,MGYP006058695731,1.0
MGYP001767359898,MGYP001393498693,0.531
MGYP001767359898,MGYP001171702472,0.62
MGYP001767359898,MGYP001767359898,1.0
MGYP001767359898,MGYP003684770611,0.698
MGYP001767359898,MGYP001435898993,0.641
MGYP001767359898,MGYP001317041712,0.65
MGYP001767359898,MGYP002586966707,0.594
MGYP001435898993,MGYP001393498693,0.502
MGYP001435898993,MGYP002586966707,0.525
MGYP001435898993,MGYP001317041712,0.78
MGYP001435898993,MGYP003684770611,0.57
MGYP001435898993,MGYP001435898993,1.0
MGYP003684770611,MGYP001393498693,0.508
MGYP003684770611,MGYP002586966707,0.57
MGYP003684770611,MGYP001317041712,0.607
MGYP003684770611,MGYP003684770611,1.0
MGYP003684770611,MGYP001171702472,0.576
MGYP002586966707,MGYP001393498693,0.621
MGYP002586966707,MGYP001171702472,0.508
MGYP002586966707,MGYP002586966707,1.0
MGYP002586966707,MGYP001317041712,0.489
MGYP001393498693,MGYP001393498693,1.0
MGYP001826121148,MGYP001826121148,1.0
