id,biome,cluster
MGYP004668706029,unknown,0
MGYP003125700799,unknown,1
MGYP003505740598,unknown,1
MGYP006058695731,unknown,1
MGYP001767359898,unknown,1
MGYP001435898993,unknown,1
MGYP003684770611,unknown,1
MGYP002586966707,unknown,1
MGYP001393498693,unknown,1
MGYP001826121148,unknown,2
MGYP003089102635,unknown,3
MGYP005966041257,unknown,3
MGYP000545835382,unknown,4
MGYP003436790892,unknown,5
MGYP002654552411,unknown,5
MGYP003359348846,unknown,5
MGYP001194114031,unknown,6
MGYP001776382464,unknown,7
MGYP000360623790,unknown,7
MGYP003267708014,unknown,7
MGYP001213219289,unknown,8
MGYP001742202667,unknown,8
MGYP001809157672,unknown,8
MGYP001105272757,unknown,8
MGYP000861372851,unknown,8
MGYP004687670861,unknown,8
MGYP001377631058,unknown,9
MGYP002517673199,unknown,8
MGYP001984593921,unknown,10
MGYP005681348903,unknown,11
MGYP006413438047,unknown,11
MGYP003300716090,unknown,11
MGYP001074213730,unknown,11
MGYP000526834164,unknown,11
MGYP002560355493,unknown,11
MGYP001639408382,unknown,11
MGYP000982907811,unknown,11
MGYP005721499823,unknown,13
MGYP003682643501,unknown,14
MGYP001523016491,unknown,14
MGYP001462176771,unknown,14
MGYP000998264069,unknown,15
MGYP004749215637,unknown,16
MGYP001283260357,unknown,17
MGYP000316363195,unknown,18
MGYP003307411927,unknown,18
MGYP000599111817,unknown,18
MGYP001096382041,unknown,18
MGYP002771867897,unknown,18
MGYP002524527224,unknown,18
MGYP002561494270,unknown,18
MGYP006051674213,unknown,18
MGYP000507868816,unknown,18
MGYP000787376240,unknown,19
MGYP003213604049,unknown,19
MGYP003340396382,unknown,19
MGYP006341561415,unknown,19
MGYP000872799131,unknown,19
MGYP002656815642,unknown,19
MGYP000075446490,unknown,19
MGYP001408450232,unknown,19
MGYP000886455775,unknown,19
MGYP000871233085,unknown,19
MGYP001262742670,unknown,19
MGYP002563048889,unknown,19
MGYP006272977437,unknown,20
MGYP001342772849,unknown,21
MGYP000979461450,unknown,22
MGYP003182079489,unknown,23
MGYP001127924560,unknown,23
MGYP005907017501,unknown,23
MGYP000787320515,unknown,23
MGYP000307271845,unknown,23
MGYP003631228921,unknown,23
MGYP000221837148,unknown,23
MGYP000681882327,unknown,23
MGYP000795492994,unknown,24
MGYP000059857359,unknown,25
MGYP003428248220,unknown,25
MGYP002657462059,unknown,26
MGYP000716510590,unknown,27
MGYP004537990815,unknown,28
MGYP000369388215,unknown,28
MGYP000454781986,unknown,28
MGYP003209376639,unknown,28
MGYP000790265781,unknown,28
MGYP000432918253,unknown,28
MGYP002097459013,unknown,28
MGYP002548593200,unknown,28
MGYP002647451822,unknown,28
MGYP004537178793,unknown,28
MGYP001122640769,unknown,29
MGYP004527551593,unknown,29
MGYP000107991404,unknown,29
MGYP002624607216,unknown,30
MGYP000242428424,unknown,29
MGYP002772374854,unknown,29
MGYP002446744829,unknown,31
MGYP000512175703,unknown,28
MGYP000180421457,unknown,33
MGYP002582422754,unknown,28
MGYP005760342571,unknown,33
MGYP001812008752,unknown,34
MGYP006001334309,unknown,35
MGYP001270664216,unknown,35
MGYP006096832187,unknown,35
MGYP001165008826,unknown,35
MGYP001299095974,unknown,35
MGYP006240215883,unknown,36
MGYP001556660499,unknown,37
MGYP000382933738,unknown,38
MGYP000817506385,unknown,39
MGYP005799252527,unknown,11
MGYP000357363744,unknown,11
MGYP001360972557,unknown,11
MGYP000217036122,unknown,11
MGYP001625455031,unknown,11
MGYP004643839037,unknown,11
MGYP002123791431,unknown,11
MGYP006242077979,unknown,11
MGYP001209003118,unknown,11
MGYP005995153821,unknown,11
MGYP000444466913,unknown,11
MGYP001378375228,unknown,11
MGYP002865846762,unknown,11
MGYP001319423235,unknown,11
MGYP002756626964,unknown,11
MGYP005707469733,unknown,11
MGYP001343079947,unknown,40
MGYP001644463716,unknown,40
MGYP000757340470,unknown,197
MGYP005607008117,unknown,42
MGYP003517488142,unknown,42
MGYP001497538037,unknown,43
MGYP006186420469,unknown,44
MGYP001141876484,unknown,45
MGYP002572016614,unknown,45
MGYP004523630497,unknown,45
MGYP002985179274,unknown,45
MGYP000059541994,unknown,45
MGYP000263240080,unknown,45
MGYP005739618971,unknown,46
MGYP001224532435,unknown,47
MGYP000350756251,unknown,46
MGYP001296269880,unknown,46
MGYP000945298188,unknown,45
MGYP000128064330,unknown,46
MGYP001829033058,unknown,48
MGYP000926283738,unknown,47
MGYP005698588385,unknown,47
MGYP003414000057,unknown,49
