protein,biome,cluster
MGYP004668706029,unknown,0
MGYP003125700799,unknown,1
MGYP003505740598,unknown,1
MGYP006058695731,unknown,1
MGYP001767359898,unknown,1
MGYP001435898993,unknown,1
MGYP003684770611,unknown,1
MGYP002586966707,unknown,1
MGYP001393498693,unknown,1
MGYP001826121148,unknown,2
MGYP003089102635,unknown,3
MGYP005966041257,unknown,3
MGYP004689541021,unknown,4
MGYP000424519013,unknown,4
MGYP000855676421,unknown,4
MGYP000397721529,unknown,5
MGYP002604278318,unknown,4
MGYP003093126325,unknown,4
MGYP003085701068,unknown,4
MGYP000068122956,unknown,6
MGYP003176987684,unknown,7
MGYP005830773149,unknown,7
MGYP001294644504,unknown,269
MGYP001440308565,unknown,269
MGYP001211598278,unknown,269
MGYP000061640447,unknown,269
MGYP000186489768,unknown,269
MGYP000237730012,unknown,269
MGYP000898752052,unknown,269
MGYP003512137282,unknown,269
MGYP000732153936,unknown,269
MGYP002803023658,unknown,269
MGYP000592073580,unknown,269
MGYP001490368003,unknown,9
MGYP003269069316,unknown,10
MGYP001751098202,unknown,10
MGYP006247540587,unknown,269
MGYP002787048691,unknown,11
MGYP001498334298,unknown,13
MGYP001408343396,unknown,13
MGYP001547889901,unknown,13
MGYP001307383999,unknown,13
MGYP005704881709,unknown,13
MGYP003603792326,unknown,14
MGYP001256166077,unknown,14
MGYP000245542720,unknown,14
MGYP000366528010,unknown,14
MGYP001544327893,unknown,14
MGYP003601579242,unknown,14
MGYP001606240668,unknown,14
MGYP000799658132,unknown,15
MGYP000847467241,unknown,16
MGYP000706057236,unknown,17
MGYP000731907246,unknown,18
MGYP000687245480,unknown,18
MGYP000295327542,unknown,18
MGYP000448898988,unknown,18
MGYP000210866433,unknown,18
MGYP000972165289,unknown,18
MGYP000923849892,unknown,19
MGYP001464833186,unknown,20
MGYP005902359527,unknown,21
MGYP001446470573,unknown,22
MGYP000576311475,unknown,23
MGYP001355558375,unknown,24
MGYP001523713770,unknown,25
MGYP000143284170,unknown,25
MGYP001244250113,unknown,26
MGYP000053448402,unknown,26
MGYP000541164625,unknown,26
MGYP001150037469,unknown,26
MGYP001193205089,unknown,26
MGYP000155938620,unknown,26
MGYP000325075467,unknown,26
MGYP000401103812,unknown,26
MGYP001210715392,unknown,26
MGYP002717664261,unknown,26
MGYP001615588479,unknown,26
MGYP000278216538,unknown,26
MGYP006101461757,unknown,26
MGYP001481708372,unknown,26
MGYP002714203894,unknown,26
MGYP006149680269,unknown,26
MGYP000531502590,unknown,26
MGYP000705588737,unknown,26
MGYP002525559165,unknown,26
MGYP006289415471,unknown,26
MGYP001223482791,unknown,26
MGYP003995185681,unknown,27
MGYP003244483357,unknown,27
MGYP000025979910,unknown,27
MGYP000883896395,unknown,27
MGYP001768264418,unknown,27
MGYP000537568577,unknown,27
MGYP001249829704,unknown,28
MGYP000454793989,unknown,28
MGYP002799037523,unknown,28
MGYP001243072001,unknown,29
MGYP001727828532,unknown,30
MGYP000922680310,unknown,30
MGYP000236252216,unknown,31
MGYP002779568320,unknown,31
MGYP006300120895,unknown,31
MGYP000116758330,unknown,31
MGYP005858258587,unknown,31
MGYP001068531846,unknown,32
MGYP000889296009,unknown,32
MGYP005653796053,unknown,32
MGYP001214231924,unknown,32
MGYP003868004751,unknown,32
MGYP004557665827,unknown,33
MGYP004588561593,unknown,33
MGYP001371278710,unknown,34
MGYP002527714329,unknown,35
MGYP003470313084,unknown,36
MGYP001154513666,unknown,37
MGYP003503177375,unknown,38
MGYP002137903563,unknown,38
MGYP000404168364,unknown,38
MGYP006345522471,unknown,38
MGYP003286902623,unknown,38
MGYP006165563787,unknown,39
MGYP004645704951,unknown,40
MGYP002652853935,unknown,41
MGYP004640082051,unknown,42
MGYP001428033154,unknown,43
MGYP000680449276,unknown,44
MGYP000874504004,unknown,45
MGYP005734902507,unknown,46
MGYP005894157483,unknown,47
MGYP001050665198,unknown,47
MGYP000254344528,unknown,48
MGYP002722334215,unknown,49
MGYP006125001315,unknown,49
MGYP000247582667,unknown,49
MGYP006131625391,unknown,50
MGYP003610431031,unknown,51
MGYP002788340846,unknown,52
MGYP002553444562,unknown,53
MGYP000711236655,unknown,54
MGYP003456258447,unknown,55
MGYP000105876492,unknown,56
MGYP002039111060,unknown,57
MGYP003606451564,unknown,58
MGYP000339443675,unknown,58
MGYP004545713227,unknown,58
MGYP002546602392,unknown,58
MGYP004492434621,unknown,58
MGYP000861219196,unknown,58
MGYP000787178916,unknown,58
MGYP000555238318,unknown,58
