source,target,weight
MGYP004668706029,MGYP004668706029,1.0
MGYP000862152061,MGYP000862152061,1.0000002
MGYP000854424982,MGYP000854424982,1.0
MGYP000671231380,MGYP000671231380,0.9999998
MGYP004629789995,MGYP004629789995,0.9999999
MGYP000281542899,MGYP000281542899,1.0
MGYP000895372645,MGYP000895372645,1.0000002
MGYP000943191760,MGYP000943191760,1.0
MGYP003162049269,MGYP003162049269,1.0
MGYP000915834323,MGYP000915834323,1.0000001
MGYP000236510192,MGYP000236510192,0.9999998
MGYP000236510192,MGYP004659795931,0.8133708
MGYP000840186453,MGYP000840186453,1.0000004
MGYP004659795931,MGYP004659795931,1.0
MGYP000761845124,MGYP000761845124,1.0
MGYP000701821183,MGYP000701821183,1.0000001
MGYP000090226442,MGYP000090226442,1.0000002
MGYP001317041712,MGYP002586966707,0.7332108
MGYP001317041712,MGYP001435898993,0.8534698
MGYP001317041712,MGYP001171702472,0.88944584
MGYP001317041712,MGYP001767359898,0.7260357
MGYP001317041712,MGYP006234524557,0.85204744
MGYP001317041712,MGYP003684770611,0.69932735
MGYP001317041712,MGYP006058695731,0.81893134
MGYP001317041712,MGYP001317041712,0.9999999
MGYP001127097383,MGYP001127097383,0.99999994
MGYP001770479119,MGYP001770479119,1.0000002
MGYP005902347403,MGYP005902347403,0.9999999
MGYP003682963857,MGYP003682963857,1.0
MGYP001285560689,MGYP001285560689,1.0000001
MGYP000090551744,MGYP000090551744,1.0
MGYP002586966707,MGYP003125700799,0.7151598
MGYP002586966707,MGYP001393498693,0.778376
MGYP002586966707,MGYP000683280333,0.60786235
MGYP002586966707,MGYP002586966707,0.9999999
MGYP002586966707,MGYP003684770611,0.69752467
MGYP002586966707,MGYP001767359898,0.6980052
MGYP002586966707,MGYP001435898993,0.7205198
MGYP002586966707,MGYP006058695731,0.6516386
MGYP002586966707,MGYP003505740598,0.61540574
MGYP002586966707,MGYP001171702472,0.7325616
MGYP001454792104,MGYP001454792104,1.0000001
MGYP001204560957,MGYP003478536109,0.7096473
MGYP001204560957,MGYP000683280333,0.7261671
MGYP001204560957,MGYP001395336724,0.6509547
MGYP001204560957,MGYP005802204233,0.6369417
MGYP001204560957,MGYP001016976713,0.6616335
MGYP001204560957,MGYP001445736855,0.73853976
MGYP001204560957,MGYP000570385213,0.76003945
MGYP001204560957,MGYP001197543404,0.7640834
MGYP001204560957,MGYP001204560957,1.0
MGYP001204560957,MGYP000169651421,0.6278694
MGYP004689549003,MGYP002742670701,0.72775
MGYP004689549003,MGYP004689549003,1.0000002
MGYP004689549003,MGYP000514416937,0.8545829
MGYP003505740598,MGYP003125700799,0.8661438
MGYP003505740598,MGYP001393498693,0.7068331
MGYP003505740598,MGYP000683280333,0.61262167
MGYP003505740598,MGYP001435898993,0.7164386
MGYP003505740598,MGYP001767359898,0.8129065
MGYP003505740598,MGYP003684770611,0.7704513
MGYP003505740598,MGYP003505740598,1.0
MGYP003505740598,MGYP006058695731,0.76500773
MGYP000744368425,MGYP000744368425,1.0000002
MGYP002799146230,MGYP002799146230,0.99999994
MGYP003453251485,MGYP003453251485,1.0
MGYP001762941323,MGYP001762941323,1.0000002
MGYP003125700799,MGYP003125700799,0.99999976
MGYP003125700799,MGYP006058695731,0.7580866
MGYP003125700799,MGYP001767359898,0.80681485
MGYP003125700799,MGYP001435898993,0.75251174
MGYP003125700799,MGYP003684770611,0.7724589
MGYP003125700799,MGYP001393498693,0.7535416
MGYP000376364717,MGYP000376364717,1.0000002
MGYP000376364717,MGYP002582620339,0.7728721
MGYP000376364717,MGYP000370618748,0.77555317
MGYP001248493701,MGYP001248493701,0.9999999
MGYP006128464131,MGYP006128464131,0.9999999
MGYP002139500462,MGYP002139500462,1.0
MGYP006079945953,MGYP006079945953,0.9999999
MGYP001435898993,MGYP001393498693,0.7292136
MGYP001435898993,MGYP001435898993,1.0000002
MGYP001435898993,MGYP006058695731,0.85532403
MGYP001435898993,MGYP001767359898,0.764761
MGYP001435898993,MGYP003684770611,0.7560772
MGYP000514416937,MGYP002742670701,0.8022172
