protein,cluster
MGYP004668706029,0
MGYP003125700799,1
MGYP003505740598,1
MGYP006058695731,1
MGYP001767359898,1
MGYP001435898993,1
MGYP003684770611,1
MGYP002586966707,1
MGYP001393498693,1
MGYP001826121148,2
MGYP003089102635,3
MGYP005966041257,3
MGYP000545835382,4
MGYP003436790892,5
MGYP002654552411,5
MGYP003359348846,5
MGYP001194114031,6
MGYP001776382464,7
MGYP000360623790,7
MGYP003267708014,7
MGYP001213219289,8
MGYP001742202667,8
MGYP001809157672,8
MGYP001105272757,8
MGYP000861372851,8
MGYP004687670861,8
MGYP001377631058,9
MGYP002517673199,8
MGYP001984593921,10
MGYP005681348903,12
MGYP006413438047,12
MGYP003300716090,12
MGYP001074213730,12
MGYP000526834164,12
MGYP002560355493,12
MGYP001639408382,12
MGYP000982907811,12
MGYP005721499823,13
MGYP003682643501,14
MGYP001523016491,14
MGYP001462176771,14
MGYP000998264069,15
MGYP004749215637,16
MGYP001283260357,17
MGYP000316363195,18
MGYP003307411927,18
MGYP000599111817,18
MGYP001096382041,18
MGYP002771867897,18
MGYP002524527224,18
MGYP002561494270,18
MGYP006051674213,18
MGYP000507868816,18
MGYP000787376240,19
MGYP003213604049,19
MGYP003340396382,19
MGYP006341561415,19
MGYP000872799131,19
MGYP002656815642,19
MGYP000075446490,19
MGYP001408450232,19
MGYP000886455775,19
MGYP000871233085,19
MGYP001262742670,19
MGYP002563048889,19
MGYP006272977437,20
MGYP001342772849,21
MGYP000979461450,22
MGYP003182079489,23
MGYP001127924560,23
MGYP005907017501,23
MGYP000787320515,23
MGYP000307271845,23
MGYP003631228921,23
MGYP000221837148,23
MGYP000681882327,23
MGYP000795492994,24
MGYP000059857359,25
MGYP003428248220,25
MGYP002657462059,26
MGYP000716510590,27
MGYP004537990815,28
MGYP000369388215,28
MGYP000454781986,28
MGYP003209376639,28
MGYP000790265781,28
MGYP000432918253,28
MGYP002097459013,28
MGYP002548593200,28
MGYP002647451822,28
MGYP004537178793,28
MGYP001122640769,29
MGYP004527551593,29
MGYP000107991404,29
MGYP002624607216,30
MGYP000242428424,29
MGYP002772374854,29
MGYP002446744829,31
MGYP000512175703,28
MGYP000180421457,33
MGYP002582422754,28
MGYP005760342571,33
MGYP001812008752,34
MGYP006001334309,35
MGYP001270664216,35
MGYP006096832187,35
MGYP001165008826,35
MGYP001299095974,35
MGYP006240215883,36
MGYP001556660499,37
MGYP000382933738,38
MGYP000817506385,39
MGYP005799252527,12
MGYP000357363744,12
MGYP001360972557,12
MGYP000217036122,12
MGYP001625455031,12
MGYP004643839037,12
MGYP002123791431,12
MGYP006242077979,12
MGYP001209003118,12
MGYP005995153821,12
MGYP000444466913,12
MGYP001378375228,12
MGYP002865846762,12
MGYP001319423235,12
MGYP002756626964,12
MGYP005707469733,12
MGYP001343079947,40
MGYP001644463716,40
MGYP000757340470,198
MGYP005607008117,42
MGYP003517488142,42
MGYP001497538037,43
MGYP006186420469,44
MGYP001141876484,45
MGYP002572016614,45
MGYP004523630497,45
MGYP002985179274,45
MGYP000059541994,45
MGYP000263240080,45
MGYP005739618971,46
MGYP001224532435,47
MGYP000350756251,46
MGYP001296269880,46
MGYP000945298188,45
MGYP000128064330,46
MGYP001829033058,48
MGYP000926283738,47
MGYP005698588385,47
MGYP003414000057,49
MGYP000139485951,50
MGYP000981522792,51
MGYP000796831256,52
MGYP005675448481,53
MGYP000885213076,54
MGYP001448399547,55
MGYP001815232138,56
MGYP000257059318,57
MGYP005784983865,58
MGYP001026987228,58
MGYP003290868210,58
MGYP002520848057,58
MGYP004518280933,58
MGYP006385222557,58
MGYP006364897839,59
MGYP002790102076,60
MGYP001240080281,61
MGYP003520726924,61
MGYP000082496679,61
MGYP000539716168,61
MGYP000822241691,61
MGYP001058909087,61
MGYP001087280811,62
MGYP001229697304,62
MGYP001625122417,63
MGYP003636126485,64
MGYP003113612537,64
MGYP001440910267,64
MGYP001792504912,65
MGYP003584933092,66
MGYP000727425033,67
MGYP000688082507,67
MGYP001152953167,67
MGYP000858151996,67
MGYP006423832049,67
MGYP000859627391,67
MGYP000406285440,67
MGYP001766176634,67
MGYP001235198664,68
MGYP004577526323,69
MGYP002546785654,70
MGYP002509686429,71
MGYP003106019125,71
MGYP000796525555,71
MGYP003601708531,71
MGYP004523884673,71
MGYP006235789903,71
MGYP001100299149,71
MGYP001347967264,71
MGYP000302427506,71
MGYP004476988093,71
MGYP000596996295,71
MGYP001280133236,71
MGYP006105016747,71
MGYP000322491864,71
MGYP003705858679,71
MGYP000380264322,71
MGYP000951159177,71
MGYP006251066105,71
MGYP001480396831,71
MGYP000484242510,71
MGYP001364063637,72
MGYP005629616803,72
MGYP005999101173,72
MGYP003325089381,72
MGYP003866906793,73
MGYP000929926029,74
MGYP001305117445,40
MGYP006175463267,40
MGYP001307333228,40
MGYP002713204922,40
MGYP001173305733,40
MGYP001524375787,40
MGYP002706983636,40
MGYP000763901634,76
MGYP001531369765,77
MGYP000707800138,78
MGYP000759921190,79
MGYP000722383743,80
MGYP002772307598,81
MGYP004664951565,81
MGYP000745814528,81
MGYP002678517066,81
MGYP002664186727,81
MGYP005872904071,81
MGYP002772764084,81
MGYP000793599209,81
MGYP004497558409,81
MGYP002249234024,82
MGYP001737463954,83
MGYP004654870385,84
MGYP000038838088,84
MGYP003368205443,84
MGYP002627159086,84
MGYP001212280784,85
MGYP003109573768,86
MGYP003607926738,86
MGYP000656014887,86
MGYP000199464559,87
MGYP002535725461,87
MGYP003264972759,88
MGYP000738742725,88
MGYP001171416048,88
MGYP005974209379,88
MGYP000151770421,88
MGYP005765694895,88
MGYP000726182050,89
MGYP003585444218,90
MGYP003315261912,89
MGYP002513507840,90
MGYP005840043345,91
MGYP001578221808,92
MGYP002633051820,93
MGYP001155315197,94
MGYP001174598798,40
MGYP002182928096,40
MGYP004598722483,95
MGYP001056160102,95
MGYP000609885367,96
MGYP005970279557,97
MGYP001360353644,98
MGYP003631660835,99
MGYP000367882981,100
MGYP003687513447,101
MGYP001041853195,102
MGYP003514646895,103
MGYP004504192095,103
MGYP001318240106,103
MGYP004564915777,103
MGYP001083423736,104
MGYP003300567938,105
MGYP006100183105,105
MGYP001547555712,105
MGYP001119103216,105
MGYP001186561258,105
MGYP006076176819,105
MGYP001421928254,105
MGYP006284913959,106
MGYP002726722074,107
MGYP001417356793,108
MGYP005987103641,109
MGYP004525888521,110
MGYP001445061478,111
MGYP003582742593,111
MGYP001119043798,111
MGYP004469300885,112
MGYP001160542010,111
MGYP000990005423,113
MGYP000769122307,113
MGYP001294810394,114
MGYP002597373997,115
MGYP000145274938,115
MGYP000749009802,115
MGYP000676288247,115
MGYP001006759172,115
MGYP002401112583,115
MGYP003536674601,116
MGYP000181543751,116
MGYP002732829154,116
MGYP003020070114,117
MGYP001450336420,118
MGYP001318172536,119
MGYP000998941585,120
MGYP000944669756,120
MGYP000216060532,120
MGYP003591982433,120
MGYP003811266507,120
MGYP003458200041,120
MGYP000727245854,120
MGYP000547374928,120
MGYP000856684225,120
MGYP001618369058,121
MGYP000925034817,120
MGYP000456641455,122
MGYP004464917447,123
MGYP003451882717,120
MGYP005984866981,124
MGYP000078207118,125
MGYP001179517451,120
MGYP001292630839,120
MGYP002641177686,126
MGYP000400089916,127
MGYP000351756259,127
MGYP001110413159,127
MGYP004636737401,127
MGYP000314551705,128
MGYP006360660723,128
MGYP000264156894,128
MGYP002754822744,128
MGYP000838609913,129
MGYP002519479046,130
MGYP003297079129,131
MGYP006371753831,132
MGYP001566138465,132
MGYP001138385915,133
MGYP003227073077,134
MGYP001379122623,135
MGYP003503643053,136
MGYP002834496230,137
MGYP004435813875,138
MGYP000137520671,139
MGYP000899399593,140
MGYP000622693364,140
MGYP003083521634,140
MGYP000132178313,141
MGYP000078320021,141
MGYP005835519519,28
MGYP000355350673,28
MGYP000810960565,28
MGYP001625513938,28
MGYP000664024439,28
MGYP004542187899,28
MGYP002773984590,28
MGYP003271284602,28
MGYP003213785063,28
MGYP000781125742,28
MGYP000793778038,28
MGYP000828032861,28
MGYP001535076276,144
MGYP000475571677,28
MGYP001083512405,143
MGYP000019185430,144
MGYP001005692531,145
MGYP001780726567,146
MGYP000472681304,146
MGYP000800986895,146
MGYP006257872751,147
MGYP001395336724,148
MGYP005802204233,149
MGYP003881458555,150
MGYP001617167190,151
MGYP001828490480,152
MGYP001349444111,153
MGYP005729911063,154
MGYP000768066056,155
MGYP003214512783,155
MGYP005889966093,156
MGYP001785917696,157
